priority,external_product_id,title,canonical_url,quality_flags,current_lane,identity_status,identity_review_required,index_serving_eligible,decision,mapping_type,target_parent_external_product_id,target_parent_title,target_parent_lane,target_parent_flags,target_parent_index_serving_eligible,component_role,confidence,source_policy,serving_action,next_safe_step,reviewer_notes
P2,ext_3061ddf912667b725b4e0be0,Add Surprise Party - Black,https://www.missnella.com/products/class-clown-red-copy,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Surprise Party nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_20c5bace62df3979a457e400,MN04 Little Poppet: Purple Peel Off Nail Polish,https://www.missnella.com/products/mn04-little-poppet-3-pack,missing_full_inci|missing_how_to,hold_source_gap,approved,false,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Little Poppet nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_e49b7fd12614986b2704234d,MN05 Cheeky Bunny: Light Pink Peel Off Nail Polish,https://www.missnella.com/products/mn05-cheeky-bunny-3-pack,missing_full_inci|missing_how_to,hold_source_gap,approved,false,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Cheeky Bunny nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_005253c847ab00c7b62073c3,MN06 Butterfly Wings: Glittery Lilac Peel Off Nail Polish,https://www.missnella.com/products/mn06-butterfly-wings-3-pack,missing_full_inci|missing_how_to,hold_source_gap,approved,false,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Butterfly Wings nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_c8d0cd315ef174ac864811bf,MN11 Sweet Lavender: Deep Violet Peel Off Nail Polish,https://www.missnella.com/products/mn11-sweet-lavender-3-pack,missing_full_inci|missing_how_to,hold_source_gap,approved,false,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Sweet Lavender nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_443317ae78fcdee9271e4efa,MN13 Sun Kissed: Yellow Peel Off Nail Polish,https://www.missnella.com/products/mn13-sun-kissed-3-pack,missing_full_inci|missing_how_to,hold_source_gap,approved,false,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Sun Kissed nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_45eb20f9189ad6fc2ca06c2a,MN32 Blueberry Smoothie: Pastel Purple Peel Off Nail Polish,https://www.missnella.com/products/mn32-blueberry-smoothie-3-pack,missing_full_inci|missing_how_to,hold_source_gap,approved,false,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Blueberry Smoothie nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_f8e4e3a5be9203ee6665e382,MN35 Banana Split: Light Yellow Peel Off Nail Polish,https://www.missnella.com/products/mn35-banana-split-3-pack,missing_full_inci|missing_how_to,hold_source_gap,approved,false,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Banana Split nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_a81192861b0548c169fdc18a,WH | ‘Cool Like Me’ Roll On Perfume,https://www.missnella.com/products/copy-of-cool-like-me-roll-on-oil-perfume,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_parent_not_ready,blocked_parent_not_ready,ext_cfbb0ca2b9d0c7b411793b0b,‘Cool Like Me’ Roll On Perfume,hold_source_gap,content_evidence_hold,false,cool_like_me_perfume_pack,medium,blocked until target parent clears source/risk/evidence review,do_not_promote_from_wave52,resolve target parent source/risk review before adding mapping or serving child row,"A likely parent exists, but it is not ready enough to be used as an authoritative parent for serving or content inheritance."
P2,ext_36da2fe580334c9f860e6ccd,WH | ‘Sweet Like Me’ Roll On Perfume,https://www.missnella.com/products/sweet-like-me-roll-on-oil-perfume-pack-of-2,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_parent_not_ready,blocked_parent_not_ready,ext_6f491538dbf9a790b66cf269,‘Sweet Like Me’ Roll On Perfume,hold_source_gap,content_evidence_hold,false,sweet_like_me_perfume_pack,medium,blocked until target parent clears source/risk/evidence review,do_not_promote_from_wave52,resolve target parent source/risk review before adding mapping or serving child row,"A likely parent exists, but it is not ready enough to be used as an authoritative parent for serving or content inheritance."
